"core-infra-nx::tests/test_rsyslog.py::test_verify_log_order[panther]","P3","Regression"
"core-infra-nx::tests/test_rsyslog.py::test_modify_server_params[ip-panther]","P2","Regression"
"core-infra-nx::tests/test_rsyslog.py::test_modify_server_params[port-panther]","P2","Regression"
"core-infra-nx::tests/test_rsyslog.py::test_modify_server_params[syslog_transport_mode-panther]","P2","Regression"
"core-infra-nx::tests/test_rsyslog.py::test_modify_server_params[log_prefix-panther]","P2","Regression"
"core-infra-nx::tests/test_rsyslog.py::test_after_reboot_log[panther]","P3","Regression"
"core-infra-nx::tests/test_rsyslog.py::test_logs_appliance_action[reboot-panther]","P2","Regression"
"core-infra-nx::tests/test_rsyslog.py::test_check_message_priority[debug-panther]","P2",""
"core-infra-nx::tests/test_rsyslog.py::test_check_message_priority[info-panther]","P2",""
"core-infra-nx::tests/test_rsyslog.py::test_check_message_priority[notice-panther]","P2",""
"core-infra-nx::tests/test_rsyslog.py::test_check_message_priority[warning-panther]","P2",""
"core-infra-nx::tests/test_rsyslog.py::test_check_message_priority[err-panther]","P2",""
"core-infra-nx::tests/test_rsyslog.py::test_check_message_priority[crit-panther]","P2",""
"core-infra-nx::tests/test_rsyslog.py::test_check_message_priority[alert-panther]","P2",""
"core-infra-nx::tests/test_rsyslog.py::test_check_message_priority[emerg-panther]","P2",""
"core-infra-nx::tests/test_rsyslog.py::test_rsyslog.py::test_modify_server_params[empty_prefix-panther]","P2","Regression"
"core-infra-nx::tests/test_rsyslog.py::test_logs_appliance_action[factory-reset-panther]","P2","Regression"
"core-infra-nx::tests/test_rsyslog.py::test_logs_appliance_action[cleanup-panther]","P2","Regression"
"core-infra-nx::tests/test_rsyslog.py::test_verify_logs_at_server_end[tls-panther]","P1","2.12.0"
"core-infra-nx::tests/test_rsyslog.py::test_tls_connection_failure[panther]","P3","2.12.0"
"core-infra-nx::tests/test_rsyslog.py::test_verify_max_rsyslog_servers","P1","2.12"
"SCON-26364-Rest API Blocker","P1","SCON-26364"
"Rest api blocker SCON-26364","P3","2.12"
"SCON-26364-Rest API Blocker","P2","SCON-26364"
"core-infra-nx::tests/test_rsyslog.py::test_disable_rsyslog_scm","P1",""
"core-infra-nx::tests/test_rsyslog.py::test_rsyslog_status_without_server_config[panther]","P2","parametrization"
"SCON-26364-Rest API Blocker","P1","SCON-26364"
"core-infra-nx::tests/test_rsyslog.py::test_verify_full_log_format[panther]","P1",""
"core-infra-nx::tests/test_rsyslog.py::test_verify_text_data[priority-panther]","P2",""
"core-infra-nx::tests/test_rsyslog.py::test_verify_text_data[time_stamp-panther]","P2",""
"core-infra-nx::tests/test_rsyslog.py::test_verify_text_data[timezone-panther]","P2","parametrization"
"core-infra-nx::tests/test_rsyslog.py::test_verify_text_data[full_date-panther]","P2",""
"Manual","P2","Manual (server specific)"
"Manual","P2","Manual (server specific)"
"core-infra-nx::tests/test_rsyslog.py::test_verify_text_data[process-panther]","P2",""
"core-infra-nx::tests/test_rsyslog.py::test_verify_structured_data[sd-panther]","P2",""
"core-infra-nx::tests/test_rsyslog.py::test_verify_structured_data[org-site-panther]","P2",""
"core-infra-nx::tests/test_rsyslog.py::test_verify_structured_data[prefix-panther]","P2",""
"core-infra-nx::tests/test_rsyslog.py::test_verify_text_data[hostname-panther]","P2",""
"core-infra-nx::tests/test_rsyslog.py::test_verify_logs_at_server_end[udp-panther]","P1",""
"core-infra-nx::tests/test_rsyslog.py::test_verify_logs_at_server_end[tcp-panther]","P1",""
"core-infra-nx::tests/test_rsyslog.py::test_verify_logs_from_vms[svm-panther]","P2",""
"core-infra-nx::tests/test_rsyslog.py::test_check_connectivity_panther_catfish[wan-panther]","P3",""
"core-infra-nx::tests/test_rsyslog.py::test_configure_verify_scm_for_rsyslog[tls-panther]","P1",""
"core-infra-nx::tests/test_rsyslog.py::test_configure_verify_scm_for_rsyslog[tcp-panther]","P1",""
"SCON-26364-Rest API Blocker","P3","SCON-26364"
"SCON-26364-Rest API Blocker","P3","SCON-26364"
"core-infra-nx::tests/test_rsyslog.py::test_verify_logs_from_vms[rvm-panther]","P2",""
"core-infra-nx::tests/test_rsyslog.py::test_verify_logs_from_vms[cvm-panther]","P2",""
"core-infra-nx::tests/test_rsyslog.py::test_modify_server_params[status-panther]","P2",""
