"core-infra-nx::tests/test_site_dns.py::test_site_dns_negative_panther","P1"
"core-infra-nx::tests/test_static_dynamic_ip.py::test_set_static_ip","P1"
"core-infra-nx::tests/test_site_dns.py::test_site_dns_override","P1"
"core-infra-nx::tests/test_HA_Peer_Connectivity_SCM.py::test_ha_peer_connectivity","P1"
"core-infra-nx::tests/test_site_dns.py::test_site_dns_default_set_static","P1"
"core-infra-nx::tests/test_site_dns.py::test_dhcp_dns_unreachable","P1"
"core-infra-nx::tests/test_dhcp_check.py::test_panther_dhcp","P1"
"core-infra-nx::tests/test_diverter.py::test_verify_conn_whitelist_ip","P3"
"core-infra-nx::tests/test_diverter.py::test_verify_conn_non_whitelist_ip","P3"
"core-infra-nx::tests/test_diverter.py::test_allow_host","P1"
"core-infra-nx::tests/test_wan_select.py::test_wan_select_failover_static","P1"
"core-infra-nx::tests/test_wan_select.py::test_wan_select_bad_static[one]","P3"
"core-infra-nx::tests/test_wan_select.py::test_wan_select_bad_static[all]","P1"
"core-infra-nx::tests/test_wan_select_internal.py::test_openssl_connectivity","P2"
"core-infra-nx::tests/test_wan_select_internal.py::test_recovery_flag","P2"
"core-infra-nx::tests/test_wan_select.py::test_wan_select_recovery","P1"
"core-infra-nx::tests/test_ssl_connectivity.py::test_ssl","P3"
"core-infra-nx::tests/test_panther_wan_select.py::test_wan_select_panther_failover[static_bad_dns]","P1"
"core-infra-nx::tests/test_panther_wan_select.py::test_wan_select_panther_failover[static_bad_ip_gw]","P1"
"core-infra-nx::tests/test_ha.py::test_slave_take_over","P1"
"core-infra-nx::tests/test_ha.py::test_slave_bring_down","P1"
"core-infra-nx::tests/test_ssh_tunnel.py::test_ssh_tunnel_traffic","P1"
"core-infra-nx::tests/test_nx_connect.py::test_port_status_data","P1"
"core-infra-nx::tests/test_time_zone_change.py::test_time_zone_change","P3"
"core-infra-nx::tests/test_nx_connect.py::test_verify_appliance_online","P1"
"core-infra-nx::tests/test_nx_connect_retry.py::test_verify_ztpd_retry","P1"
"core-infra-nx::tests/test_nx_connect.py::test_ztpd_tear_down","P3"
"core-infra-nx::tests/test_connectivity_after_reboot.py::test_connectivity_after_reboot","P1"
"core-infra-nx::tests/test_cvm_online_on_core_down.py::test_cvm_online","P2"
"core-infra-nx::tests/test_appliance_send_info_to_scm.py::test_appliance_send_info_to_scm","P2"
"core-infra-nx::tests/test_scm_connectivity_thread.py::test_connectivity_thread","P1"
"core-infra-nx::tests/test_scm_connectivity_thread.py::test_intermittent_connectivity_issue","P2"
"core-infra-nx::tests/test_config_update.py::test_update_failure[cdl]","P2"
"core-infra-nx::tests/test_config_update.py::test_update_failure[inventory]","P3"
"core-infra-nx::tests/test_config_update.py::test_update_failure[config]","P2"
"core-infra-nx::tests/test_uplink_dhcp_static.py::test_uplink_test_dhcp_static","P2"
"core-infra-nx::tests/test_connectivity.py::test_appliance_online_offline","P3"
"core-infra-nx::tests/test_sysdump.py::test_limit","P2"
"core-infra-nx::tests/test_sysdump.py::test_generate_upload","P2"
"core-infra-nx::tests/test_sysdump.py::test_helper_script_failure","P2"
